ProductID,ProductName,SupplierID,Price,Category,PriceSegment
1,Engineer Next-Generation Infrastructures,16,1399083.0,Furniture,Premium
2,Re-Intermediate Mission-Critical Functionalities,50,2485676.0,Books,Luxury
3,Cultivate Rich Schemas,1,2593593.0,Electronics,Luxury
4,Exploit 24/365 Models,15,3253432.0,Books,Luxury
5,Redefine 24/365 Architectures,34,1971550.0,Books,Premium
6,Whiteboard Impactful Networks,27,2764674.0,Furniture,Luxury
7,Transition Transparent Markets,33,1590992.0,Books,Premium
8,Extend Interactive Web-Readiness,35,4916523.0,Books,Luxury
9,Whiteboard Virtual Channels,38,2567850.0,Furniture,Luxury
10,Seize Wireless Web-Readiness,29,1171453.0,Food,Premium
11,Envisioneer Cross-Media Paradigms,46,613013.0,Food,Premium
12,Synthesize Cross-Platform Applications,47,1761676.0,Sports,Premium
13,Aggregate Robust E-Services,8,4052155.0,Clothing,Luxury
14,Cultivate Back-End Info-Mediaries,32,2010047.0,Food,Luxury
15,Maximize Back-End Infrastructures,28,2393883.0,Clothing,Luxury
16,Streamline Killer Relationships,26,1163012.0,Sports,Premium
17,Exploit Holistic Info-Mediaries,64,3517676.0,Electronics,Luxury
18,Empower Dot-Com Applications,63,2019085.0,Food,Luxury
19,Strategize B2B Partnerships,60,1196229.0,Clothing,Premium
20,Engineer Integrated Deliverables,17,456245.0,Food,Mid
21,Mesh User-Centric Functionalities,32,2140211.0,Food,Luxury
22,Orchestrate Holistic Interfaces,77,1758191.0,Furniture,Premium
23,Morph World-Class E-Markets,54,1212001.0,Furniture,Premium
24,Optimize Open-Source Infrastructures,99,1593662.0,Furniture,Premium
25,Reinvent Scalable Eyeballs,72,1814756.0,Electronics,Premium
26,Maximize Holistic E-Business,25,2805039.0,Food,Luxury
27,Incentivize Compelling Relationships,18,437635.0,Sports,Mid
28,Cultivate Dot-Com Deliverables,23,3817752.0,Books,Luxury
29,Scale Cutting-Edge Roi,65,4308826.0,Sports,Luxury
30,Benchmark Customized Partnerships,21,1323474.0,Clothing,Premium
31,Expedite Transparent Niches,62,786865.0,Clothing,Premium
32,Iterate Intuitive Networks,16,3985279.0,Clothing,Luxury
33,Implement 24/7 Applications,46,3497798.0,Clothing,Luxury
34,Monetize Back-End Content,79,1442060.0,Clothing,Premium
35,Syndicate Compelling Web Services,50,2583533.0,Books,Luxury
36,Extend Magnetic Supply-Chains,49,433316.0,Food,Mid
37,Scale Frictionless Models,6,1541370.0,Furniture,Premium
